Date,mouse_number,genotype,Time of weight / food check (HH:MM),Weight (g),Sex
9/16/2018,1,Prrxl1WT,11:06:00,61.1,M
9/16/2018,2,Prrxl1WT,11:19:00,43.1,M
9/16/2018,13,Prrxl1KO,12:35:00,23.2,F
9/16/2018,14,Prrxl1KO,12:36:00,31.9,F
9/17/2018,1,Prrxl1WT,15:49:00,59.6,M
9/17/2018,2,Prrxl1WT,11:33:00,41.9,M
9/17/2018,13,Prrxl1KO,14:45:00,22.5,F
9/17/2018,14,Prrxl1KO,15:24:00,30.7,F
9/18/2018,1,Prrxl1WT,15:11:00,58.6,M
9/18/2018,2,Prrxl1WT,11:06:00,41.4,M
9/18/2018,13,Prrxl1KO,15:22:00,22.2,F
9/18/2018,14,Prrxl1KO,14:39:00,29.8,F
9/19/2018,1,Prrxl1WT,14:57:00,57.7,M
9/19/2018,2,Prrxl1WT,15:08:00,40.6,M
9/19/2018,13,Prrxl1KO,15:34:00,22.4,F
9/19/2018,14,Prrxl1KO,15:32:00,28.4,F
9/20/2018,1,Prrxl1WT,12:33:00,57.1,M
9/20/2018,2,Prrxl1WT,12:46:00,39.7,M
9/20/2018,13,Prrxl1KO,13:15:00,21.7,F
9/20/2018,14,Prrxl1KO,13:19:00,27.9,F
9/21/2018,1,Prrxl1WT,10:49:00,56.5,M
9/21/2018,2,Prrxl1WT,10:58:00,39.3,M
9/22/2018,1,Prrxl1WT,13:18:00,55.4,M
9/22/2018,2,Prrxl1WT,13:33:00,38.3,M
9/23/2018,1,Prrxl1WT,10:20:00,54.9,M
9/23/2018,2,Prrxl1WT,10:33:00,38.1,M
9/24/2018,1,Prrxl1WT,11:08:00,54.5,M
9/24/2018,2,Prrxl1WT,11:16:00,37.2,M
9/24/2018,13,Prrxl1KO,11:35:00,22,F
9/24/2018,14,Prrxl1KO,11:36:00,26.5,F
9/25/2018,1,Prrxl1WT,10:40:00,53.9,M
9/25/2018,2,Prrxl1WT,10:46:00,36.9,M
9/25/2018,13,Prrxl1KO,11:14:00,21,F
9/25/2018,14,Prrxl1KO,11:14:00,26.2,F
9/26/2018,1,Prrxl1WT,11:38:00,53.5,M
9/26/2018,2,Prrxl1WT,11:45:00,36.3,M
9/26/2018,13,Prrxl1KO,12:14:00,20.3,F
9/26/2018,14,Prrxl1KO,12:15:00,25.6,F
9/27/2018,1,Prrxl1WT,10:51:00,53.1,M
9/27/2018,2,Prrxl1WT,10:58:00,35.9,M
9/28/2018,1,Prrxl1WT,12:18:00,52.5,M
9/28/2018,2,Prrxl1WT,12:26:00,35.4,M
9/29/2018,1,Prrxl1WT,14:22:00,51.7,M
9/29/2018,2,Prrxl1WT,14:33:00,35.1,M
9/29/2018,13,Prrxl1KO,15:04:00,19.8,F
9/29/2018,14,Prrxl1KO,15:03:00,26,F
9/30/2018,1,Prrxl1WT,13:05:00,51.4,M
9/30/2018,2,Prrxl1WT,13:16:00,34.8,M
10/1/2018,1,Prrxl1WT,12:11:00,51.1,M
10/1/2018,2,Prrxl1WT,12:17:00,34.7,M
10/2/2018,1,Prrxl1WT,10:45:00,50.9,M
10/2/2018,2,Prrxl1WT,10:52:00,34.6,M
10/2/2018,13,Prrxl1KO,13:17:00,19.9,F
10/2/2018,14,Prrxl1KO,13:15:00,27.8,F
10/3/2018,2,Prrxl1WT,12:32:00,34.4,M
10/3/2018,14,Prrxl1KO,12:50:00,28.9,F
10/4/2018,2,Prrxl1WT,11:56:00,34.3,M
10/5/2018,2,Prrxl1WT,12:48:00,34,M
10/6/2018,2,Prrxl1WT,11:29:00,34.2,M
10/7/2018,2,Prrxl1WT,13:27:00,34,M
10/8/2018,2,Prrxl1WT,12:52:00,33.8,M
10/8/2018,13,Prrxl1KO,13:34:00,20.2,F
10/8/2018,14,Prrxl1KO,13:36:00,27.7,F
10/9/2018,2,Prrxl1WT,13:26:00,33.8,M
10/9/2018,14,Prrxl1KO,13:55:00,27.3,F
10/10/2018,2,Prrxl1WT,16:13:00,33.7,M
10/11/2018,2,Prrxl1WT,17:16:00,33.4,M
10/12/2018,2,Prrxl1WT,12:34:00,33.5,M
10/13/2018,2,Prrxl1WT,13:59:00,33.2,M
10/14/2018,2,Prrxl1WT,11:44:00,33,M
10/15/2018,2,Prrxl1WT,12:13:00,33,M
10/16/2018,2,Prrxl1WT,15:08:00,32.8,M
10/29/2018,13,Prrxl1KO,12:45:00,22.4,F
10/29/2018,14,Prrxl1KO,12:44:00,28.6,F
10/30/2018,13,Prrxl1KO,12:06:00,23.2,F
10/30/2018,14,Prrxl1KO,12:05:00,31.1,F
10/31/2018,13,Prrxl1KO,12:35:00,22.6,F
10/31/2018,14,Prrxl1KO,12:36:00,29.7,F
11/1/2018,13,Prrxl1KO,14:23:00,23.7,F
11/1/2018,14,Prrxl1KO,14:22:00,30.8,F
11/2/2018,13,Prrxl1KO,16:41:00,21.9,F
11/2/2018,14,Prrxl1KO,16:42:00,29.7,F
1/17/2019,3,Prrxl1WT,17:34:00,49.1,F
1/17/2019,5,Prrxl1WT,17:31:00,48.3,F
1/17/2019,6,Prrxl1WT,17:36:00,25.3,F
1/18/2019,3,Prrxl1WT,18:40:00,49.3,F
1/18/2019,12,Prrxl1KO,14:30:00,31.1,F
1/18/2019,5,Prrxl1WT,17:43:00,48.7,F
1/23/2019,11,Prrxl1KO,16:47:00,33.9,M
1/24/2019,11,Prrxl1KO,13:20:00,31.7,M
1/24/2019,3,Prrxl1WT,13:55:00,49.8,F
1/24/2019,12,Prrxl1KO,13:42:00,30.4,F
1/24/2019,4,Prrxl1WT,13:24:00,64,M
1/24/2019,5,Prrxl1WT,13:54:00,50.6,F
1/24/2019,6,Prrxl1WT,14:00:00,28.2,F
1/24/2019,7,Prrxl1WT,13:31:00,46.4,M
1/24/2019,8,Prrxl1WT,13:29:00,36.7,M
1/24/2019,15,Prrxl1KO,13:48:00,35.2,F
1/24/2019,16,Prrxl1KO,13:50:00,28.7,F
1/25/2019,10,Prrxl1KO,13:13:00,32.3,M
1/25/2019,11,Prrxl1KO,13:19:00,30.3,M
1/25/2019,3,Prrxl1WT,14:35:00,48.8,F
1/25/2019,12,Prrxl1KO,14:22:00,30.7,F
1/25/2019,4,Prrxl1WT,13:22:00,64.4,M
1/25/2019,5,Prrxl1WT,14:32:00,50.2,F
1/25/2019,6,Prrxl1WT,14:40:00,26.8,F
1/25/2019,7,Prrxl1WT,13:30:00,46.3,M
1/25/2019,8,Prrxl1WT,13:28:00,36,M
1/25/2019,15,Prrxl1KO,14:27:00,33.2,F
1/25/2019,16,Prrxl1KO,14:28:00,27.9,F
1/26/2019,10,Prrxl1KO,15:46:00,32.9,M
1/26/2019,3,Prrxl1WT,16:23:00,48.6,F
1/26/2019,12,Prrxl1KO,16:14:00,30.3,F
1/26/2019,4,Prrxl1WT,15:56:00,63.8,M
1/26/2019,5,Prrxl1WT,16:24:00,49.6,F
1/26/2019,7,Prrxl1WT,15:57:00,45.8,M
1/26/2019,8,Prrxl1WT,15:59:00,34.9,M
1/26/2019,15,Prrxl1KO,16:19:00,32.4,F
1/26/2019,16,Prrxl1KO,16:17:00,27.9,F
1/29/2019,9,Prrxl1KO,13:31:00,35.7,M
1/29/2019,10,Prrxl1KO,13:36:00,30.9,M
1/29/2019,11,Prrxl1KO,13:41:00,30.5,M
1/29/2019,3,Prrxl1WT,14:09:00,48.6,F
1/29/2019,5,Prrxl1WT,14:06:00,50,F
1/29/2019,6,Prrxl1WT,14:14:00,25.2,F
1/29/2019,7,Prrxl1WT,13:48:00,48.1,M
1/29/2019,8,Prrxl1WT,13:49:00,36.9,M
1/30/2019,9,Prrxl1KO,16:51:00,35.3,M
1/30/2019,10,Prrxl1KO,16:55:00,29.8,M
1/30/2019,11,Prrxl1KO,16:59:00,29.2,M
1/30/2019,3,Prrxl1WT,14:59:00,47.5,F
1/30/2019,5,Prrxl1WT,14:13:00,48.8,F
1/30/2019,6,Prrxl1WT,14:36:00,26.1,F
1/30/2019,7,Prrxl1WT,17:07:00,47.6,M
1/30/2019,8,Prrxl1WT,17:07:00,36.3,M
1/31/2019,9,Prrxl1KO,13:13:00,35.6,M
1/31/2019,10,Prrxl1KO,13:15:00,29.1,M
1/31/2019,11,Prrxl1KO,13:19:00,29.6,M
1/31/2019,3,Prrxl1WT,13:46:00,47,F
1/31/2019,4,Prrxl1WT,13:21:00,63.1,M
1/31/2019,5,Prrxl1WT,13:44:00,49.2,F
1/31/2019,7,Prrxl1WT,13:28:00,47.7,M
1/31/2019,8,Prrxl1WT,13:29:00,36,M
2/1/2019,9,Prrxl1KO,9:25:00,34.2,M
2/1/2019,10,Prrxl1KO,11:00:00,29.8,M
2/1/2019,11,Prrxl1KO,14:16:00,29.5,M
2/1/2019,3,Prrxl1WT,14:54:00,46.3,F
2/1/2019,12,Prrxl1KO,14:42:00,27.7,F
2/1/2019,4,Prrxl1WT,14:15:00,63.1,M
2/1/2019,5,Prrxl1WT,14:53:00,49.4,F
2/1/2019,7,Prrxl1WT,14:33:00,46.9,M
2/1/2019,8,Prrxl1WT,14:34:00,34.8,M
2/1/2019,15,Prrxl1KO,14:50:00,30.7,F
2/1/2019,16,Prrxl1KO,14:46:00,25.9,F
2/2/2019,10,Prrxl1KO,14:54:00,30.1,M
2/2/2019,3,Prrxl1WT,15:43:00,47.1,F
2/2/2019,12,Prrxl1KO,15:34:00,28.2,F
2/2/2019,4,Prrxl1WT,15:00:00,64.7,M
2/2/2019,5,Prrxl1WT,15:41:00,50,F
2/2/2019,6,Prrxl1WT,15:45:00,26.4,F
2/2/2019,7,Prrxl1WT,15:04:00,48.1,M
2/2/2019,8,Prrxl1WT,15:06:00,34.9,M
2/3/2019,10,Prrxl1KO,12:41:00,28.5,M
2/3/2019,3,Prrxl1WT,13:31:00,47,F
2/3/2019,12,Prrxl1KO,13:17:00,27.5,F
2/3/2019,4,Prrxl1WT,12:50:00,65.3,M
2/3/2019,5,Prrxl1WT,13:33:00,50.5,F
2/3/2019,6,Prrxl1WT,13:39:00,27.1,F
2/3/2019,7,Prrxl1WT,12:53:00,48.1,M
2/3/2019,8,Prrxl1WT,12:54:00,34.8,M
2/4/2019,9,Prrxl1KO,15:19:00,33.8,M
2/4/2019,3,Prrxl1WT,16:01:00,48.3,F
2/4/2019,12,Prrxl1KO,15:46:00,26.5,F
2/4/2019,4,Prrxl1WT,15:31:00,63.9,M
2/4/2019,5,Prrxl1WT,16:00:00,51,F
2/4/2019,6,Prrxl1WT,15:50:00,26.6,F
2/4/2019,7,Prrxl1WT,12:15:00,47.2,M
2/4/2019,8,Prrxl1WT,15:39:00,35.3,M
2/5/2019,9,Prrxl1KO,14:03:00,35.3,M
2/5/2019,3,Prrxl1WT,14:33:00,47.6,F
2/5/2019,12,Prrxl1KO,14:26:00,28.4,F
2/5/2019,4,Prrxl1WT,14:12:00,67.5,M
2/5/2019,5,Prrxl1WT,14:31:00,50.7,F
2/5/2019,6,Prrxl1WT,14:36:00,26.6,F
2/5/2019,7,Prrxl1WT,14:15:00,48.8,M
2/5/2019,8,Prrxl1WT,14:17:00,35.2,M
2/6/2019,9,Prrxl1KO,16:45:00,34.7,M
2/6/2019,10,Prrxl1KO,16:48:00,30,M
2/6/2019,3,Prrxl1WT,16:17:00,46.7,F
2/6/2019,12,Prrxl1KO,9:30:00,28.6,F
2/6/2019,4,Prrxl1WT,16:55:00,65,M
2/6/2019,5,Prrxl1WT,16:16:00,50.4,F
2/6/2019,6,Prrxl1WT,16:19:00,27,F
2/6/2019,7,Prrxl1WT,17:00:00,48.4,M
2/6/2019,8,Prrxl1WT,17:02:00,35.1,M
2/6/2019,15,Prrxl1KO,15:52:00,32.1,F
2/6/2019,16,Prrxl1KO,14:59:00,28.2,F
2/7/2019,9,Prrxl1KO,14:46:00,36,M
2/7/2019,10,Prrxl1KO,14:49:00,30.7,M
2/7/2019,11,Prrxl1KO,14:56:00,30.3,M
2/7/2019,3,Prrxl1WT,12:49:00,45.2,F
2/7/2019,12,Prrxl1KO,14:12:00,29,F
2/7/2019,4,Prrxl1WT,14:58:00,64.8,M
2/7/2019,5,Prrxl1WT,11:43:00,49,F
2/7/2019,6,Prrxl1WT,14:34:00,26.5,F
2/7/2019,7,Prrxl1WT,15:17:00,48.6,M
2/7/2019,8,Prrxl1WT,15:18:00,35.2,M
2/7/2019,15,Prrxl1KO,14:20:00,32.1,F
2/7/2019,16,Prrxl1KO,14:21:00,28.3,F
2/14/2019,13,Prrxl1KO,13:35:00,19.8,F
2/14/2019,14,Prrxl1KO,13:34:00,32,F
2/15/2019,13,Prrxl1KO,12:16:00,19.6,F
2/15/2019,14,Prrxl1KO,11:04:00,31.8,F
2/16/2019,13,Prrxl1KO,15:21:00,18.9,F
2/16/2019,14,Prrxl1KO,15:23:00,31.3,F
2/16/2019,15,Prrxl1KO,15:31:00,32.8,F
2/16/2019,16,Prrxl1KO,15:29:00,27.3,F
2/17/2019,13,Prrxl1KO,13:51:00,18.1,F
2/17/2019,14,Prrxl1KO,13:42:00,30.1,F
2/17/2019,15,Prrxl1KO,14:17:00,33.2,F
2/17/2019,16,Prrxl1KO,14:09:00,27.1,F
3/9/2019,11,Prrxl1KO,11:24:00,22.7,M
3/10/2019,11,Prrxl1KO,12:38:00,23,M
4/10/2019,11,Prrxl1KO,16:10:00,22.6,M
4/11/2019,13,Prrxl1KO,12:39:00,19.3,F
4/11/2019,14,Prrxl1KO,12:38:00,30.6,F
4/14/2019,10,Prrxl1KO,13:35:00,23.1,M
4/14/2019,11,Prrxl1KO,13:38:00,26.1,M
7/4/2019,10,Prrxl1KO,12:43:00,27.8,M
7/18/2019,13,Prrxl1KO,14:15:00,20.3,F
7/25/2019,13,Prrxl1KO,11:46:00,20.9,F
7/28/2019,13,Prrxl1KO,13:29:00,21.2,F
7/29/2019,1,Prrxl1WT,11:50:00,46.3,M
7/29/2019,2,Prrxl1WT,11:51:00,38.3,M
7/29/2019,13,Prrxl1KO,12:08:00,20.9,F
7/29/2019,7,Prrxl1WT,12:04:00,41.2,M
7/29/2019,8,Prrxl1WT,12:05:00,33,M
7/30/2019,1,Prrxl1WT,11:49:00,45.1,M
7/30/2019,2,Prrxl1WT,11:52:00,40.1,M
7/30/2019,13,Prrxl1KO,12:18:00,20.2,F
7/30/2019,7,Prrxl1WT,12:11:00,41.1,M
7/30/2019,8,Prrxl1WT,12:12:00,33,M
7/31/2019,1,Prrxl1WT,14:29:00,46.4,M
7/31/2019,2,Prrxl1WT,14:31:00,38.9,M
7/31/2019,7,Prrxl1WT,14:46:00,41,M
7/31/2019,8,Prrxl1WT,14:48:00,33.1,M
8/1/2019,1,Prrxl1WT,14:42:00,47.3,M
8/1/2019,2,Prrxl1WT,14:44:00,39.5,M
8/1/2019,10,Prrxl1KO,14:51:00,27.9,M
8/1/2019,7,Prrxl1WT,14:57:00,41.5,M
8/1/2019,8,Prrxl1WT,14:58:00,34.5,M
8/2/2019,1,Prrxl1WT,10:46:00,47.3,M
8/2/2019,2,Prrxl1WT,10:48:00,39.6,M
8/2/2019,10,Prrxl1KO,10:53:00,27.9,M
8/2/2019,7,Prrxl1WT,11:00:00,42.3,M
8/2/2019,8,Prrxl1WT,11:00:00,34.7,M
8/3/2019,1,Prrxl1WT,14:33:00,47.5,M
8/3/2019,2,Prrxl1WT,14:36:00,39.1,M
8/3/2019,10,Prrxl1KO,14:46:00,26,M
8/3/2019,7,Prrxl1WT,15:00:00,42.4,M
8/3/2019,8,Prrxl1WT,15:01:00,34,M
8/4/2019,1,Prrxl1WT,15:51:00,46.2,M
8/4/2019,2,Prrxl1WT,15:56:00,40.1,M
8/4/2019,7,Prrxl1WT,16:06:00,41.9,M
8/4/2019,8,Prrxl1WT,16:07:00,33.8,M
8/5/2019,1,Prrxl1WT,13:51:00,47.5,M
8/5/2019,2,Prrxl1WT,13:55:00,41.4,M
8/5/2019,7,Prrxl1WT,14:06:00,42.3,M
8/5/2019,8,Prrxl1WT,14:07:00,34.6,M
8/6/2019,1,Prrxl1WT,10:59:00,49.3,M
8/6/2019,2,Prrxl1WT,11:01:00,42.1,M
8/6/2019,10,Prrxl1KO,11:05:00,28.5,M
8/6/2019,7,Prrxl1WT,11:12:00,42.6,M
8/6/2019,8,Prrxl1WT,11:13:00,35.1,M
8/7/2019,1,Prrxl1WT,14:34:00,49.3,M
8/7/2019,2,Prrxl1WT,14:37:00,41.9,M
8/7/2019,10,Prrxl1KO,14:44:00,28.6,M
8/7/2019,7,Prrxl1WT,14:57:00,42.7,M
8/7/2019,8,Prrxl1WT,14:58:00,34.6,M
8/8/2019,1,Prrxl1WT,11:01:00,49.8,M
8/8/2019,2,Prrxl1WT,11:03:00,43.4,M
8/8/2019,10,Prrxl1KO,11:08:00,29.2,M
8/8/2019,7,Prrxl1WT,11:16:00,43.6,M
8/8/2019,8,Prrxl1WT,11:18:00,35.4,M
8/9/2019,1,Prrxl1WT,11:00:00,47.6,M
8/9/2019,2,Prrxl1WT,11:03:00,43.4,M
8/9/2019,10,Prrxl1KO,11:06:00,27.2,M
8/9/2019,7,Prrxl1WT,11:14:00,43.5,M
8/9/2019,8,Prrxl1WT,11:15:00,35.8,M
8/10/2019,1,Prrxl1WT,13:54:00,50.9,M
8/10/2019,2,Prrxl1WT,13:58:00,42.3,M
8/10/2019,7,Prrxl1WT,14:35:00,43.7,M
8/10/2019,8,Prrxl1WT,14:38:00,35.6,M
8/11/2019,1,Prrxl1WT,13:41:00,49.8,M
8/11/2019,2,Prrxl1WT,13:43:00,42.8,M
8/11/2019,7,Prrxl1WT,13:54:00,44.3,M
8/11/2019,8,Prrxl1WT,13:55:00,35.9,M
8/12/2019,1,Prrxl1WT,11:10:00,51,M
8/12/2019,2,Prrxl1WT,11:14:00,42.6,M
8/12/2019,10,Prrxl1KO,11:19:00,29.2,M
8/12/2019,13,Prrxl1KO,11:30:00,22.8,F
8/12/2019,7,Prrxl1WT,11:25:00,44.3,M
8/12/2019,8,Prrxl1WT,11:26:00,35.8,M
8/13/2019,1,Prrxl1WT,11:03:00,47.8,M
8/13/2019,2,Prrxl1WT,11:05:00,41.9,M
8/13/2019,10,Prrxl1KO,11:10:00,30.2,M
8/13/2019,7,Prrxl1WT,11:16:00,45.4,M
8/13/2019,8,Prrxl1WT,11:18:00,36.8,M
8/14/2019,1,Prrxl1WT,10:55:00,50,M
8/14/2019,2,Prrxl1WT,10:58:00,39.8,M
8/14/2019,10,Prrxl1KO,11:04:00,27.3,M
8/14/2019,7,Prrxl1WT,11:11:00,46,M
8/14/2019,8,Prrxl1WT,11:12:00,37.3,M
8/15/2019,1,Prrxl1WT,11:06:00,50,M
8/15/2019,2,Prrxl1WT,11:08:00,42.5,M
8/15/2019,7,Prrxl1WT,11:21:00,45,M
8/15/2019,8,Prrxl1WT,11:23:00,36.7,M
8/16/2019,1,Prrxl1WT,10:57:00,50.3,M
8/16/2019,2,Prrxl1WT,11:00:00,41.3,M
8/16/2019,7,Prrxl1WT,11:11:00,45,M
8/16/2019,8,Prrxl1WT,11:12:00,36.5,M
8/17/2019,1,Prrxl1WT,13:24:00,50.4,M
8/17/2019,2,Prrxl1WT,13:31:00,40.1,M
8/17/2019,7,Prrxl1WT,14:11:00,45.5,M
8/17/2019,8,Prrxl1WT,14:12:00,36.9,M
8/18/2019,1,Prrxl1WT,14:52:00,48.5,M
8/18/2019,2,Prrxl1WT,14:53:00,40.4,M
8/18/2019,7,Prrxl1WT,15:02:00,45.2,M
8/18/2019,8,Prrxl1WT,15:03:00,36.7,M
8/19/2019,1,Prrxl1WT,11:09:00,51,M
8/19/2019,2,Prrxl1WT,11:12:00,39.3,M
8/19/2019,7,Prrxl1WT,11:26:00,45.6,M
8/19/2019,8,Prrxl1WT,11:27:00,36.7,M
8/20/2019,1,Prrxl1WT,11:48:00,53.5,M
8/20/2019,2,Prrxl1WT,11:46:00,40,M
8/20/2019,7,Prrxl1WT,11:36:00,44.8,M
8/20/2019,8,Prrxl1WT,11:36:00,36.6,M
8/21/2019,1,Prrxl1WT,11:42:00,52.3,M
8/21/2019,2,Prrxl1WT,11:43:00,40,M
8/21/2019,7,Prrxl1WT,11:55:00,44.9,M
8/21/2019,8,Prrxl1WT,12:00:00,36.7,M
8/22/2019,1,Prrxl1WT,10:55:00,51.4,M
8/22/2019,2,Prrxl1WT,10:59:00,40.3,M
8/22/2019,7,Prrxl1WT,11:16:00,47,M
8/22/2019,8,Prrxl1WT,11:16:00,39,M
8/23/2019,1,Prrxl1WT,12:03:00,52.7,M
